country,survey_start_year,year,lat,lon,GID_1,GID_2,households,rural,iwi
angola,2015,2015,-8.424108999999996,20.735780999999992,AGO.12,AGO.12.8,21,0,47.88509480952381
angola,2015,2015,-7.364602000000001,20.807245000000005,AGO.12,AGO.12.4,18,0,37.37937261111111
angola,2015,2015,-8.441921000000006,20.717824000000004,AGO.12,AGO.12.8,24,0,18.432424166666667
angola,2015,2015,-9.484826,20.376952000000006,AGO.13,AGO.13.4,25,1,11.07879884
angola,2015,2015,-9.663517999999998,20.377014,AGO.13,AGO.13.4,12,0,60.26522875
angola,2015,2015,-11.088294999999995,20.675662,AGO.13,AGO.13.2,15,1,19.50757073333333
angola,2015,2015,-9.994641,20.25919099999999,AGO.13,AGO.13.4,26,1,4.590128384615384
angola,2015,2015,-9.642945999999998,20.373784,AGO.13,AGO.13.4,19,0,28.548703263157893
angola,2015,2015,-9.664247,20.376121000000005,AGO.13,AGO.13.4,16,0,51.2084854375
angola,2015,2015,-9.455386000000004,20.313244,AGO.13,AGO.13.4,22,1,13.141936636363637
angola,2015,2015,-9.649883,20.38363,AGO.13,AGO.13.4,16,0,36.4308566875
angola,2015,2015,-9.676609,20.347623,AGO.13,AGO.13.4,12,0,38.16947291666666
angola,2015,2015,-9.674048999999998,20.366825,AGO.13,AGO.13.4,12,0,61.8212385
angola,2015,2015,-9.658505999999996,20.388493999999994,AGO.13,AGO.13.4,25,0,72.48178723999999
angola,2015,2015,-9.004045999999997,20.41294900000001,AGO.12,AGO.12.8,22,1,11.506374545454548
angola,2015,2015,-8.656836999999998,16.532002000000002,AGO.14,AGO.14.5,11,1,44.12643963636363
angola,2015,2015,-9.553536,16.38912699999999,AGO.14,AGO.14.9,22,0,57.25898727272728
angola,2015,2015,-9.518101,16.273402,AGO.14,AGO.14.9,13,1,33.69963107692308
angola,2015,2015,-9.556523,16.34230300000001,AGO.14,AGO.14.9,20,0,47.25969479999999
angola,2015,2015,-10.561232999999996,17.424434000000005,AGO.14,AGO.14.8,26,1,18.200612076923075
angola,2015,2015,-9.552645999999998,16.331424,AGO.14,AGO.14.9,14,0,44.33864207142858
angola,2015,2015,-9.544320999999998,16.352572000000002,AGO.14,AGO.14.9,21,0,63.466358571428565
angola,2015,2015,-9.790881,16.394363,AGO.14,AGO.14.4,14,1,26.512347214285715
angola,2015,2015,-9.532541000000004,16.32986,AGO.14,AGO.14.9,23,0,45.114084347826086
angola,2015,2015,-9.531623999999995,16.334122999999998,AGO.14,AGO.14.9,19,0,66.43163368421052
angola,2015,2015,-10.663814,17.72892,AGO.14,AGO.14.8,21,1,15.875063857142855
angola,2015,2015,-10.08032,17.556974000000004,AGO.14,AGO.14.3,20,0,26.47574825
angola,2015,2015,-9.16117,16.002778999999997,AGO.14,AGO.14.2,19,1,11.236768894736844
angola,2015,2015,-9.541216999999996,16.353956999999994,AGO.14,AGO.14.9,25,0,68.0193032
angola,2015,2015,-9.561632,16.338639,AGO.14,AGO.14.9,20,0,52.41214540000001
angola,2015,2015,-9.551591,16.34717699999999,AGO.14,AGO.14.9,26,0,76.38797292307694
angola,2015,2015,-9.551154,16.360041999999996,AGO.14,AGO.14.9,17,0,58.38366258823529
angola,2015,2015,-9.542212000000005,16.32730199999999,AGO.14,AGO.14.9,26,0,68.81492511538461
angola,2015,2015,-9.551882000000004,16.361515,AGO.14,AGO.14.9,24,0,72.08616091666669
angola,2015,2015,-9.438776,16.724504000000003,AGO.14,AGO.14.12,20,1,18.43298085
angola,2015,2015,-11.653346,20.518764999999995,AGO.15,AGO.15.4,15,1,8.139413466666666
angola,2015,2015,-10.701803999999996,22.240186,AGO.15,AGO.15.5,12,0,15.802814500000002
angola,2015,2015,-11.899668000000002,22.91323,AGO.15,AGO.15.1,11,0,16.73747918181818
angola,2015,2015,-11.787877000000002,19.89853299999999,AGO.15,AGO.15.9,25,0,69.92609044000001
angola,2015,2015,-11.564515,19.969817000000003,AGO.15,AGO.15.9,8,1,5.4778685000000005
angola,2015,2015,-11.788726999999996,19.916287000000004,AGO.15,AGO.15.9,11,0,30.18557063636364
angola,2015,2015,-11.7862,23.046991,AGO.15,AGO.15.1,3,1,6.386017333333332
angola,2015,2015,-10.671992,22.191444,AGO.15,AGO.15.5,9,1,5.111647555555556
angola,2015,2015,-11.588236999999996,20.723548,AGO.15,AGO.15.4,13,1,13.211617153846152
angola,2015,2015,-11.447325,20.157639,AGO.15,AGO.15.2,11,0,69.60755227272728
angola,2015,2015,-11.570980000000002,23.361531,AGO.15,AGO.15.1,7,1,0.8472272857142851
angola,2015,2015,-11.787048,19.903805,AGO.15,AGO.15.9,2,0,6.063651
angola,2015,2015,-11.679201000000004,20.72579,AGO.15,AGO.15.4,15,1,11.2001932
angola,2015,2015,-11.401012,19.955278000000003,AGO.15,AGO.15.2,21,1,3.5522827619047623
angola,2015,2015,-11.789969,19.894687,AGO.15,AGO.15.9,10,0,64.3584042
angola,2015,2015,-11.11256,23.708107,AGO.15,AGO.15.1,6,1,18.13237116666667
angola,2015,2015,-11.810584000000004,19.880331000000005,AGO.15,AGO.15.9,16,0,24.20864875
angola,2015,2015,-12.491771,22.957202,AGO.15,AGO.15.1,3,1,3.710717666666666
angola,2015,2015,-11.798543999999994,19.91529100000001,AGO.15,AGO.15.9,24,0,57.53429395833334
angola,2015,2015,-11.75671,19.922087,AGO.15,AGO.15.9,17,0,46.01499335294118
angola,2015,2015,-10.71007,22.213614000000003,AGO.15,AGO.15.5,11,0,24.745107545454548
angola,2015,2015,-11.775802999999998,19.90025600000001,AGO.15,AGO.15.9,23,0,61.270591217391306
angola,2015,2015,-14.236392000000002,12.415434000000005,AGO.16,AGO.16.3,22,1,22.07106031818181
